Address,Latitude,Longitude,Regular_Gas_Price_USD
"4411 Rice St, Lihue, HI 96766",21.976253469114194,-159.36801693818782,5.04
"59-186 Kamehameha Hwy, Haleiwa, HI 96712",21.67022811341265,-158.04248644725604,4.53
"95-130 Kamehameha Hwy, Mililani, HI 96789",21.458132612946315,-158.0169524609846,3.99
"91-565 Farrington Hwy, Kapolei, HI 96707",21.338353050583603,-158.07750200160618,4.05
"91-909 Fort Weaver Rd, Ewa Beach, HI 96706",21.316636311241044,-158.0134851240212,4.59
"777 Kamehameha Hwy, Pearl City, HI 96782",21.392449397924914,-157.96676318262462,4.29
"407 Kapahulu Ave, Honolulu, HI 96815",21.27414910693775,-157.81607571328053,4.39
"7170 Kalanianaʻole Hwy, Honolulu, HI 96825",21.277297041905257,-157.70595531195053,4.59
"1281 S Kihei Rd, Kihei, HI 96753",20.748655261518117,-156.45532164849,4.27
"3425 Old Haleakala Hwy, Makawao, HI 96768",20.83434819331439,-156.33411982995582,4.49
"74-5035 Queen Ka'ahumanu Hwy, Kailua-Kona, HI 96740",19.67347152953827,-156.01582472414918,4.49
"192 Kinoole St, Hilo, HI 96720",19.723691447747644,-155.088206982245,4.67
"321 Makaala St, Hilo, HI 96720",19.69951577682903, -155.06340198309655,4.59
